retention_in_hour,count
122,1
126,3
130,1
134,1
135,2
120,25
123,89
124,10
125,83
127,88
128,57
129,32
132,84
119,272
1,19368
121,190
2,23727
0,231296
28,7000
29,8416
30,9169
31,6678
3,23398
33,9635
34,6152
35,2028
36,3067
37,4900
38,6167
39,2438
40,4011
41,6443
4,19791
42,9425
43,7878
44,4809
45,3264
47,3960
48,1574
49,5119
50,5652
51,4437
52,4922
5,25861
53,5092
54,6095
56,4596
58,9933
61,7447
6,22207
68,8363
71,7140
7,21040
72,7771
73,7490
74,6889
76,5371
77,7509
78,7577
79,7883
80,6990
81,6662
8,23668
83,7387
84,7054
85,7993
86,8082
87,8083
88,4426
89,4941
90,9295
91,6223
9,20691
92,6463
93,4561
94,5780
95,7468
96,4607
97,4929
98,6042
99,2576
100,3167
101,8643
10,21542
102,6507
103,8120
104,6119
105,5729
106,3626
107,2787
108,6796
109,5017
110,3121
111,2401
112,2212
11,22407
113,1885
114,1206
115,3684
116,3633
117,3589
118,1694
12,24136
13,21318
140,7024
14,22928
142,7717
143,6545
144,9310
145,5464
146,6352
147,9916
148,7177
149,7767
150,6553
15,19540
151,9808
152,6746
153,5894
154,7375
155,4888
156,9355
157,6395
158,5630
159,9235
160,5470
161,5525
16,25586
162,6858
163,6352
164,3167
165,1142
166,3352
167,1637
17,22059
18,21130
19,19912
20,21763
21,20185
22,22013
23,18235
24,16299
25,20416
26,18841
27,15943
32,13187
46,10513
55,10064
57,14535
59,11003
60,16760
62,14863
63,12354
64,10508
65,15205
66,16923
67,15629
69,15054
70,16840
75,11090
82,10573
136,51146
137,10932
138,10851
139,10477
141,11220
